Name,Ticker,Industry,Weight
APPLE INC,AAPL,Information Technology,0.118006206
MICROSOFT CORP,MSFT,Information Technology,0.104193774
NVIDIA CORP,NVDA,Information Technology,0.093584226
AMAZON COM INC,AMZN,Consumer Discretionary,0.068361525
META PLATFORMS INC CLASS A,META,Communication Services,0.043439095
ALPHABET INC CLASS A,GOOGL,Communication Services,0.034531078
BROADCOM INC,AVGO,Information Technology,0.029026124
ALPHABET INC CLASS C,GOOG,Communication Services,0.028825943
TESLA INC,TSLA,Consumer Discretionary,0.028725853
ELI LILLY,LLY,Health Care,0.02482234
VISA INC CLASS A,V,Financials,0.022820538
MASTERCARD INC CLASS A,MA,Financials,0.017215494
NETFLIX INC,NFLX,Communication Services,0.015814233
COSTCO WHOLESALE CORP,COST,Consumer Staples,0.015714143
HOME DEPOT INC,HD,Consumer Discretionary,0.010809729
ORACLE CORP,ORCL,Information Technology,0.008807927
MERCK & CO INC,MRK,Health Care,0.008407567
SALESFORCE INC,CRM,Information Technology,0.008207387
PALANTIR TECHNOLOGIES INC CLASS A,PLTR,Information Technology,0.007006306
INTUITIVE SURGICAL INC,ISRG,Health Care,0.006806126
ADOBE INC,ADBE,Information Technology,0.006505855
SERVICENOW INC,NOW,Information Technology,0.006405765
INTUIT INC,INTU,Information Technology,0.006305675
QUALCOMM INC,QCOM,Information Technology,0.006205585
PEPSICO INC,PEP,Consumer Staples,0.006105495
COCA-COLA,KO,Consumer Staples,0.005905315
ABBVIE INC,ABBV,Health Care,0.005905315
UBER TECHNOLOGIES INC,UBER,Industrials,0.005705135
BOOKING HOLDINGS INC,BKNG,Consumer Discretionary,0.005605045
PROGRESSIVE CORP,PGR,Financials,0.005104594
AMGEN INC,AMGN,Health Care,0.004804324
AUTOMATIC DATA PROCESSING INC,ADP,Industrials,0.004403964
ADVANCED MICRO DEVICES INC,AMD,Information Technology,0.004303873
PALO ALTO NETWORKS INC,PANW,Information Technology,0.004303873
APPLIED MATERIAL INC,AMAT,Information Technology,0.004203783
BLACKSTONE INC,BX,Financials,0.003903513
AMERICAN TOWER REIT CORP,AMT,Real Estate,0.003803423
LAM RESEARCH CORP,LRCX,Information Technology,0.003603243
KLA CORP,KLAC,Information Technology,0.003503153
WASTE MANAGEMENT INC,WM,Industrials,0.003503153
PROCTER & GAMBLE,PG,Consumer Staples,0.003403063
STARBUCKS CORP,SBUX,Consumer Discretionary,0.003302973
SPOTIFY TECHNOLOGY SA,SPOT,Communication Services,0.003202883
CROWDSTRIKE HOLDINGS INC CLASS A,CRWD,Information Technology,0.003202883
ARISTA NETWORKS INC,ANET,Information Technology,0.003102793
TJX INC,TJX,Consumer Discretionary,0.003002702
OREILLY AUTOMOTIVE INC,ORLY,Consumer Discretionary,0.002902612
MOODYS CORP,MCO,Financials,0.002802522
SHERWIN WILLIAMS,SHW,Materials,0.002802522
CADENCE DESIGN SYSTEMS INC,CDNS,Information Technology,0.002702432
CHIPOTLE MEXICAN GRILL INC,CMG,Consumer Discretionary,0.002602342
UNION PACIFIC CORP,UNP,Industrials,0.002602342
SYNOPSYS INC,SNPS,Information Technology,0.002602342
APPLOVIN CORP CLASS A,APP,Information Technology,0.002602342
CINTAS CORP,CTAS,Industrials,0.002602342
VERTEX PHARMACEUTICALS INC,VRTX,Health Care,0.002502252
ZOETIS INC CLASS A,ZTS,Health Care,0.002302072
DOORDASH INC CLASS A,DASH,Consumer Discretionary,0.002302072
AUTOZONE INC,AZO,Consumer Discretionary,0.002201982
AUTODESK INC,ADSK,Information Technology,0.002201982
AMERICAN EXPRESS,AXP,Financials,0.002101892
APOLLO GLOBAL MANAGEMENT INC,APO,Financials,0.002101892
ECOLAB INC,ECL,Materials,0.002101892
AIRBNB INC CLASS A,ABNB,Consumer Discretionary,0.002001802
WORKDAY INC CLASS A,WDAY,Information Technology,0.002001802
FORTINET INC,FTNT,Information Technology,0.001901712
SNOWFLAKE INC CLASS A,SNOW,Information Technology,0.001801621
NIKE INC CLASS B,NKE,Consumer Discretionary,0.001801621
GE AEROSPACE,GE,Industrials,0.001801621
CENCORA INC,COR,Health Care,0.001801621
AMPHENOL CORP CLASS A,APH,Information Technology,0.001801621
GOLDMAN SACHS GROUP INC,GS,Financials,0.001701531
COPART INC,CPRT,Industrials,0.001701531
AMERIPRISE FINANCE INC,AMP,Financials,0.001701531
TARGA RESOURCES CORP,TRGP,Energy,0.001601441
VERISK ANALYTICS INC,VRSK,Industrials,0.001601441
COLGATE-PALMOLIVE,CL,Consumer Staples,0.001601441
VISTRA CORP,VST,Utilities,0.001501351
AXON ENTERPRISE INC,AXON,Industrials,0.001501351
LULULEMON ATHLETICA INC,LULU,Consumer Discretionary,0.001501351
STRYKER CORP,SYK,Health Care,0.001501351
FISERV INC,FI,Financials,0.001501351
FAIR ISAAC CORP,FICO,Information Technology,0.001401261
FASTENAL,FAST,Industrials,0.001401261
WW GRAINGER INC,GWW,Industrials,0.001401261
MCKESSON CORP,MCK,Health Care,0.001401261
CLOUDFLARE INC CLASS A,NET,Information Technology,0.001401261
NU HOLDINGS LTD CLASS A,NU,Financials,0.001401261
ATLASSIAN CORP CLASS A,TEAM,Information Technology,0.001401261
VEEVA SYSTEMS INC CLASS A,VEEV,Health Care,0.001301171
IDEXX LABORATORIES INC,IDXX,Health Care,0.001301171
MOTOROLA SOLUTIONS INC,MSI,Information Technology,0.001301171
MONSTER BEVERAGE CORP,MNST,Consumer Staples,0.001201081
OLD DOMINION FREIGHT LINE INC,ODFL,Industrials,0.001201081
UNITEDHEALTH GROUP INC,UNH,Health Care,0.001201081
COINBASE GLOBAL INC CLASS A,COIN,Financials,0.001201081
GARTNER INC,IT,Information Technology,0.001201081
DATADOG INC CLASS A,DDOG,Information Technology,0.001201081
ROBLOX CORP CLASS A,RBLX,Communication Services,0.001201081
ALNYLAM PHARMACEUTICALS INC,ALNY,Health Care,0.001201081
BLK CSH FND TREASURY SL AGENCY,XTSLA,Financials,0.001100991
LOCKHEED MARTIN CORP,LMT,Industrials,0.001100991
HUBSPOT INC,HUBS,Information Technology,0.001100991
TRACTOR SUPPLY,TSCO,Consumer Discretionary,0.001100991
HESS CORP,HES,Energy,0.001100991
HILTON WORLDWIDE HOLDINGS INC,HLT,Consumer Discretionary,0.001100991
MONOLITHIC POWER SYSTEMS INC,MPWR,Information Technology,0.001100991
ILLINOIS TOOL INC,ITW,Industrials,0.001000901
ARES MANAGEMENT CORP CLASS A,ARES,Financials,0.001000901
VERTIV HOLDINGS CLASS A,VRT,Industrials,0.001000901
COUPANG INC CLASS A,CPNG,Consumer Discretionary,0.001000901
DEXCOM INC,DXCM,Health Care,0.001000901
TRANE TECHNOLOGIES PLC,TT,Industrials,0.001000901
CHENIERE ENERGY INC,LNG,Energy,0.001000901
TRADE DESK INC CLASS A,TTD,Communication Services,0.001000901
GODADDY INC CLASS A,GDDY,Information Technology,0.001000901
BROADRIDGE FINANCIAL SOLUTIONS INC,BR,Industrials,0.001000901
TEXAS PACIFIC LAND CORP,TPL,Energy,0.000900811
MSCI INC,MSCI,Financials,0.000900811
LPL FINANCIAL HOLDINGS INC,LPLA,Financials,0.000900811
CORPAY INC,CPAY,Financials,0.000900811
CATERPILLAR INC,CAT,Industrials,0.000900811
KKR AND CO INC,KKR,Financials,0.000900811
SYSCO CORP,SYY,Consumer Staples,0.000900811
BOEING,BA,Industrials,0.000800721
HONEYWELL INTERNATIONAL INC,HON,Industrials,0.000800721
TYLER TECHNOLOGIES INC,TYL,Information Technology,0.000800721
EXPEDIA GROUP INC,EXPE,Consumer Discretionary,0.000800721
LIVE NATION ENTERTAINMENT INC,LYV,Communication Services,0.000800721
TEXAS INSTRUMENT INC,TXN,Information Technology,0.000800721
CARDINAL HEALTH INC,CAH,Health Care,0.000700631
ZSCALER INC,ZS,Information Technology,0.000700631
KIMBERLY CLARK CORP,KMB,Consumer Staples,0.000700631
PINTEREST INC CLASS A,PINS,Communication Services,0.000700631
LENNOX INTERNATIONAL INC,LII,Industrials,0.000700631
INSULET CORP,PODD,Health Care,0.000700631
CLOROX,CLX,Consumer Staples,0.000700631
ROYAL CARIBBEAN GROUP LTD,RCL,Consumer Discretionary,0.000700631
DECKERS OUTDOOR CORP,DECK,Consumer Discretionary,0.000700631
PAYCHEX INC,PAYX,Industrials,0.000700631
SUPER MICRO COMPUTER INC,SMCI,Information Technology,0.00060054
DOCUSIGN INC,DOCU,Information Technology,0.00060054
HEICO CORP CLASS A,HEIA,Industrials,0.00060054
YUM BRANDS INC,YUM,Consumer Discretionary,0.00060054
NATERA INC,NTRA,Health Care,0.00060054
DRAFTKINGS INC CLASS A,DKNG,Consumer Discretionary,0.00060054
EQUITABLE HOLDINGS INC,EQH,Financials,0.00060054
MARSH & MCLENNAN INC,MMC,Financials,0.00060054
