Name,Ticker,Industry,Weight
Tesla Inc,TSLA,Consumer Discretionary,11.59%
Roku Inc,ROKU,Communication Services,8.70%
Roblox Corp -Class A,RBLX,Communication Services,7.10%
Coinbase Global Inc -Class A,COIN,Financials,7.08%
Palantir Technologies Inc-A,PLTR,Information Technology,6.31%
Tempus Ai Inc,TEM,Health Care,5.04%
Crispr Therapeutics Ag,CRSP,Health Care,5.04%
Shopify Inc - Class A,SHOP,Information Technology,4.87%
Robinhood Markets Inc - A,HOOD,Financials,4.61%
Twist Bioscience Corp,TWST,Health Care,2.74%
Pagerduty Inc,PD,Information Technology,2.49%
Archer Aviation Inc-A,ACHR,Industrials,2.48%
Meta Platforms Inc-Class A,META,Communication Services,2.47%
Block Inc,XYZ,Financials,2.42%
Beam Therapeutics Inc,BEAM,Health Care,2.33%
amazon.com Inc,AMZN,Consumer Discretionary,2.18%
Recursion Pharmaceuticals-A,RXRX,Health Care,2.14%
Draftkings Inc-Cl A,DKNG,Consumer Discretionary,2.05%
Teradyne Inc,TER,Information Technology,1.84%
Advanced Micro Devices,AMD,Information Technology,1.62%
10x Genomics Inc-Class A,TXG,Health Care,1.52%
Veracyte Inc,VCYT,Health Care,1.44%
Pinterest Inc- Class A,PINS,Communication Services,1.41%
Gitlab Inc-Cl A,GTLB,Information Technology,1.41%
Intellia Therapeutics Inc,NTLA,Health Care,1.31%
Natera Inc,NTRA,Health Care,1.30%
Trade Desk inc/the -Class A,TTD,Communication Services,1.19%
Iridium Communications Inc,IRDM,Communication Services,1.13%
Deere & Co,DE,Industrials,1.11%
Uipath Inc - Class A,PATH,Information Technology,1.04%
Illumina Inc,ILMN,Health Care,1.02%
Pacific Biosciences of Calif,PACB,Health Care,0.50%
Cerus Corp,CERS,Health Care,0.31%
Goldman Fs Trsy Oblig Inst 468,,Financials,0.13%
Prime Medicine Inc,PRME,Health Care,0.04%
Sofi Technologies Inc,SOFI,Financials,0.03%
