Name,Ticker,Industry,Weight
Apple Inc.,AAPL,Information Technology,6.97%
Microsoft Corp,MSFT,Information Technology,6.02%
Nvidia Corp,NVDA,Information Technology,5.66%
Amazon.com Inc,AMZN,Consumer Discretionary,3.94%
"Meta Platforms, Inc. Class A",META,Communication Services,2.73%
Berkshire Hathaway Class B,BRK.B,Financials,2.03%
Alphabet Inc. Class A,GOOGL,Communication Services,1.96%
Broadcom Inc.,AVGO,Information Technology,1.67%
Alphabet Inc. Class C,GOOG,Communication Services,1.61%
"Tesla, Inc.",TSLA,Consumer Discretionary,1.58%
Jpmorgan Chase & Co.,JPM,Financials,1.44%
Eli Lilly & Co.,LLY,Health Care,1.34%
Visa Inc.,V,Financials,1.25%
Exxon Mobil Corporation,XOM,Energy,1.06%
Unitedhealth Group Incorporated,UNH,Health Care,0.98%
Mastercard Incorporated,MA,Financials,0.94%
Netflix Inc,NFLX,Communication Services,0.87%
Costco Wholesale Corp,COST,Consumer Staples,0.86%
Procter & Gamble Company,PG,Consumer Staples,0.82%
Johnson & Johnson,JNJ,Health Care,0.81%
Walmart Inc.,WMT,Consumer Staples,0.77%
"Home Depot, Inc.",HD,Consumer Discretionary,0.75%
Abbvie Inc.,ABBV,Health Care,0.74%
Bank of America Corporation,BAC,Financials,0.58%
Chevron Corporation,CVX,Energy,0.58%
Coca-Cola Company,KO,Consumer Staples,0.57%
"Salesforce, Inc.",CRM,Information Technology,0.55%
"Cisco Systems, Inc.",CSCO,Information Technology,0.51%
Philip Morris International Inc.,PM,Consumer Staples,0.50%
Wells Fargo & Co.,WFC,Financials,0.49%
Oracle Corp,ORCL,Information Technology,0.49%
Abbott Laboratories,ABT,Health Care,0.47%
International Business Machines Corporation,IBM,Information Technology,0.47%
Mcdonald's Corporation,MCD,Consumer Discretionary,0.46%
"Merck & Co., Inc.",MRK,Health Care,0.46%
Linde Plc,LIN,Materials,0.46%
Ge Aerospace,GE,Industrials,0.46%
"Pepsico, Inc.",PEP,Consumer Staples,0.43%
At&t Inc.,T,Communication Services,0.42%
"Thermo Fisher Scientific, Inc.",TMO,Health Care,0.41%
Accenture Plc,ACN,Information Technology,0.40%
Verizon Communications,VZ,Communication Services,0.39%
Palantir Technologies Inc. Class A,PLTR,Information Technology,0.38%
The Walt Disney Company,DIS,Communication Services,0.38%
Intuitive Surgical Inc.,ISRG,Health Care,0.38%
Rtx Corporation,RTX,Industrials,0.37%
Qualcomm Inc,QCOM,Information Technology,0.36%
Goldman Sachs Group Inc.,GS,Financials,0.36%
Advanced Micro Devices,AMD,Information Technology,0.36%
Adobe Inc.,ADBE,Information Technology,0.36%
Intuit Inc,INTU,Information Technology,0.36%
"Servicenow, Inc.",NOW,Information Technology,0.35%
Texas Instruments Incorporated,TXN,Information Technology,0.34%
Amgen Inc,AMGN,Health Care,0.34%
Caterpillar Inc.,CAT,Industrials,0.34%
Progressive Corporation,PGR,Financials,0.33%
S&p Global Inc.,SPGI,Financials,0.33%
Booking Holdings Inc.,BKNG,Consumer Discretionary,0.33%
"Uber Technologies, Inc.",UBER,Consumer Discretionary,0.32%
American Express Company,AXP,Financials,0.31%
Boston Scientific Corp.,BSX,Health Care,0.31%
Morgan Stanley,MS,Financials,0.31%
"Nextra Energy, Inc.",NEE,Energy,0.30%
Union Pacific Corp.,UNP,Industrials,0.30%
Pfizer Inc.,PFE,Health Care,0.29%
Comcast Corp,CMCSA,Communication Services,0.29%
"Blackrock, Inc.",BLK,Financials,0.29%
"Honeywell International, Inc.",HON,Industrials,0.29%
Gilead Sciences Inc,GILD,Health Care,0.29%
The Charles Schwab Corporation,SCHW,Financials,0.28%
"Tjx Companies, Inc.",TJX,Consumer Discretionary,0.28%
Citigroup Inc.,C,Financials,0.28%
Boeing Company,BA,Industrials,0.28%
Danaher Corporation,DHR,Health Care,0.28%
Conocophillips,COP,Energy,0.27%
Lowe's Companies Inc.,LOW,Consumer Discretionary,0.27%
Vertex Pharmaceuticals Inc,VRTX,Health Care,0.27%
"T-Mobile Us, Inc.",TMUS,Communication Services,0.27%
Stryker Corporation,SYK,Health Care,0.26%
"Fiserv, Inc.",FI,Information Technology,0.26%
Automatic Data Processing,ADP,Information Technology,0.26%
Deere & Company,DE,Industrials,0.25%
Applied Materials Inc,AMAT,Information Technology,0.25%
"Marsh & Mclennan Companies, Inc.",MMC,Financials,0.25%
Bristol-Myers Squibb Co.,BMY,Health Care,0.25%
"Palo Alto Networks, Inc.",PANW,Information Technology,0.24%
Medtronic Plc,MDT,Health Care,0.23%
Starbucks Corp,SBUX,Consumer Discretionary,0.23%
Chubb Limited,CB,Financials,0.23%
"Eaton Corporation, Plcs",ETN,Industrials,0.23%
Blackstone Inc.,BX,Financials,0.22%
"Analog Devices, Inc.",ADI,Information Technology,0.21%
"Prologis, Inc.",PLD,Real Estate,0.21%
Intel Corp,INTC,Information Technology,0.21%
"Micron Technology, Inc.",MU,Information Technology,0.21%
Intercontinental Exchange Inc.,ICE,Financials,0.21%
"Elevance Health, Inc.",ELV,Health Care,0.21%
American Tower Corporation,AMT,Real Estate,0.21%
"Altria Group, Inc.",MO,Consumer Staples,0.20%
The Southern Company,SO,Utilities,0.20%
Lam Research Corp,LRCX,Information Technology,0.20%
Cme Group Inc.,CME,Financials,0.20%
Kla Corporation,KLAC,Information Technology,0.19%
Lockheed Martin Corp.,LMT,Industrials,0.19%
Welltower Inc.,WELL,Real Estate,0.19%
Duke Energy Corporation,DUK,Utilities,0.19%
"Crowdstrike Holdings, Inc. Class A",CRWD,Information Technology,0.19%
The Cigna Group,CI,Health Care,0.18%
"Mondelez International, Inc. Class A",MDLZ,Consumer Staples,0.18%
Arthur J. Gallagher & Co.,AJG,Financials,0.18%
Aon Plc Class A,AON,Financials,0.18%
Cvs Health Corporation,CVS,Health Care,0.18%
"Waste Management, Inc.",WM,Industrials,0.17%
Ge Vernova Inc.,GEV,Utilities,0.17%
Mckesson Corporation,MCK,Health Care,0.17%
Amphenol Corporation,APH,Industrials,0.17%
"O'reilly Automotive, Inc.",ORLY,Consumer Discretionary,0.17%
Arista Networks,ANET,Information Technology,0.17%
"United Parcel Service, Inc. Class B",UPS,Industrials,0.17%
3m Company,MMM,Industrials,0.17%
Parker-Hannifin Corporation,PH,Industrials,0.17%
"Equinix, Inc. Reit",EQIX,Real Estate,0.17%
The Sherwin-Williams Company,SHW,Materials,0.17%
Kkr & Co. Inc.,KKR,Financials,0.16%
Trane Technologies Plc,TT,Industrials,0.16%
"Nike, Inc.",NKE,Consumer Discretionary,0.16%
Transdigm Group Incorporated,TDG,Industrials,0.16%
Colgate-Palmolive Company,CL,Consumer Staples,0.16%
Zoetis Inc.,ZTS,Health Care,0.15%
Moody's Corporation,MCO,Financials,0.15%
Williams Companies Inc.,WMB,Energy,0.15%
"Motorola Solutions, Inc.",MSI,Information Technology,0.15%
Cadence Design Systems,CDNS,Information Technology,0.15%
"Eog Resources, Inc.",EOG,Energy,0.15%
Cintas Corp,CTAS,Industrials,0.15%
Northrop Grumman Corp.,NOC,Industrials,0.14%
Pnc Financial Services Group,PNC,Financials,0.14%
"Chipotle Mexican Grill, Inc.",CMG,Consumer Discretionary,0.14%
Synopsys Inc,SNPS,Information Technology,0.14%
General Dynamics Corporation,GD,Industrials,0.14%
"Paypal Holdings, Inc.",PYPL,Information Technology,0.14%
Capital One Financial,COF,Financials,0.14%
U.S. Bancorp,USB,Financials,0.14%
Illinois Tool Works Inc.,ITW,Industrials,0.14%
Regeneron Pharmaceuticals Inc,REGN,Health Care,0.14%
"Doordash, Inc. Class A",DASH,Consumer Discretionary,0.14%
"Becton, Dickinson and Co.",BDX,Health Care,0.14%
"Air Products & Chemicals, Inc.",APD,Materials,0.14%
Constellation Energy Corporation,CEG,Utilities,0.14%
"Autozone, Inc.",AZO,Consumer Discretionary,0.13%
"Ecolab, Inc.",ECL,Materials,0.13%
"Roper Technologies, Inc.",ROP,Industrials,0.13%
"Apollo Global Management, Inc.",APO,Financials,0.13%
"Fortinet, Inc.",FTNT,Information Technology,0.13%
Emerson Electric Co.,EMR,Industrials,0.13%
"Oneok, Inc.",OKE,Utilities,0.13%
"Hca Healthcare, Inc.",HCA,Health Care,0.13%
Bank of New York Mellon Corporation,BK,Financials,0.13%
"The Travelers Companies, Inc.",TRV,Financials,0.12%
Schlumberger Limited,SLB,Energy,0.12%
Autodesk Inc,ADSK,Information Technology,0.12%
Csx Corporation,CSX,Industrials,0.12%
Freeport-Mcmoran Inc.,FCX,Materials,0.12%
"American Electric Power Company, Inc.",AEP,Utilities,0.12%
Marriot International Class A,MAR,Consumer Discretionary,0.12%
Hilton Worldwide Holdings Inc.,HLT,Consumer Discretionary,0.12%
The Allstate Corporation,ALL,Financials,0.11%
Newmont Corporation,NEM,Materials,0.11%
Aflac Inc.,AFL,Financials,0.11%
"Kinder Morgan, Inc.",KMI,Energy,0.11%
Truist Financial Corporation,TFC,Financials,0.11%
"Airbnb, Inc. Class A",ABNB,Consumer Discretionary,0.11%
Johnson Controls International Plc,JCI,Industrials,0.11%
Fedex Corporation,FDX,Industrials,0.11%
Royal Caribbean Group,RCL,Consumer Discretionary,0.11%
Howmet Aerospace Inc.,HWM,Industrials,0.11%
Norfolk Southern Corp.,NSC,Industrials,0.11%
Carrier Global Corporation,CARR,Industrials,0.11%
"Workday, Inc. Class A",WDAY,Information Technology,0.11%
Phillips 66,PSX,Energy,0.11%
Paccar Inc,PCAR,Industrials,0.11%
Nxp Semiconductors N.v.,NXPI,Information Technology,0.11%
"Simon Property Group, Inc.",SPG,Real Estate,0.11%
"American International Group, Inc.",AIG,Financials,0.10%
Realty Income Corporation,O,Real Estate,0.10%
Copart Inc,CPRT,Industrials,0.10%
Target Corporation,TGT,Consumer Staples,0.10%
Republic Services Inc.,RSG,Industrials,0.10%
Paychex Inc,PAYX,Financials,0.10%
"Metlife, Inc.",MET,Financials,0.10%
"Ameriprise Financial, Inc.",AMP,Financials,0.10%
"Cencora, Inc.",COR,Health Care,0.10%
General Motors Company,GM,Consumer Discretionary,0.10%
Kimberly-Clark Corp.,KMB,Consumer Staples,0.10%
Marathon Petroleum Corporation,MPC,Energy,0.10%
Public Storage,PSA,Real Estate,0.10%
"Digital Realty Trust, Inc.",DLR,Real Estate,0.10%
"Dominion Energy, Inc.",D,Utilities,0.09%
Fair Isaac Corporation,FICO,Information Technology,0.09%
Kenvue Inc.,KVUE,Health Care,0.09%
Crown Castle Inc.,CCI,Real Estate,0.09%
Fastenal Co,FAST,Industrials,0.09%
Exelon Corporation,EXC,Utilities,0.09%
Cummins Inc.,CMI,Industrials,0.09%
Sempra,SRE,Utilities,0.09%
The Kroger Co.,KR,Consumer Staples,0.09%
"Yum! Brands, Inc.",YUM,Consumer Discretionary,0.09%
Hess Corporation,HES,Energy,0.09%
"Msci, Inc.",MSCI,Financials,0.09%
Te Connectivity Plc,TEL,Information Technology,0.09%
"W.W. Grainger, Inc.",GWW,Industrials,0.09%
Targa Resources Corp.,TRGP,Energy,0.09%
Baker Hughes Company,BKR,Energy,0.09%
"Corteva, Inc.",CTVA,Materials,0.09%
Ross Stores Inc,ROST,Consumer Discretionary,0.09%
