Name,Ticker,Weight,Industry,Shares Held
APPLE INC,AAPL,0.0675725,Information Technology,190951209
NVIDIA CORP,NVDA,0.0604454,Information Technology,309877671
MICROSOFT CORP,MSFT,0.0600389,Information Technology,93921842
AMAZON.COM INC,AMZN,0.0386850,Consumer Discretionary,118221457
META PLATFORMS INC CLASS A,META,0.0274273,Communication Services,27539456
ALPHABET INC CL A,GOOGL,0.0202759,Communication Services,73814475
BERKSHIRE HATHAWAY INC CL B,BRK.B,0.0197059,Financials,23155758
BROADCOM INC,AVGO,0.0190554,Information Technology,59003310
ALPHABET INC CL C,GOOG,0.0167151,Communication Services,60123808
TESLA INC,TSLA,0.0143310,Consumer Discretionary,35281381
JPMORGAN CHASE + CO,JPM,0.0135172,Financials,35566943
ELI LILLY + CO,LLY,0.0134672,Health Care,9954115
VISA INC CLASS A SHARES,V,0.0121055,Financials,21831861
EXXON MOBIL CORP,XOM,0.0101835,Energy,55525870
UNITEDHEALTH GROUP INC,UNH,0.0094485,Health Care,11626771
MASTERCARD INC   A,MA,0.0090852,Financials,10355775
PROCTER + GAMBLE CO/THE,PG,0.0084656,Consumer Staples,29753372
COSTCO WHOLESALE CORP,COST,0.0084136,Consumer Staples,5597593
JOHNSON + JOHNSON,JNJ,0.0083672,Health Care,30417839
NETFLIX INC,NFLX,0.0081132,Communication Services,5400438
ABBVIE INC,ABBV,0.0079711,Health Care,22326264
WALMART INC,WMT,0.0078205,Consumer Staples,54838923
HOME DEPOT INC,HD,0.0073545,Consumer Discretionary,12549294
COCA COLA CO/THE,KO,0.0057120,Consumer Staples,48972608
BANK OF AMERICA CORP,BAC,0.0056455,Financials,84324120
SALESFORCE INC,CRM,0.0055383,Information Technology,12076340
CHEVRON CORP,CVX,0.0054729,Energy,21110782
MERCK + CO. INC.,MRK,0.0051074,Health Care,31953416
CISCO SYSTEMS INC,CSCO,0.0050704,Information Technology,50349335
ORACLE CORP,ORCL,0.0050593,Information Technology,20302107
PHILIP MORRIS INTERNATIONAL,PM,0.0049879,Consumer Staples,19639103
