Price,Close,High,Low,Open,Volume
Ticker,VUG,VUG,VUG,VUG,VUG
Date,,,,,
2/1/20,178.76876831054688,178.76876831054688,177.12416431893155,177.58853455497857,1035800
3/1/20,177.54014587402344,178.4301666091793,176.42760888388375,176.55337765743172,909800
6/1/20,178.68170166015625,178.75909669829903,176.2341407800683,176.38893085635385,773700
7/1/20,178.62362670898438,179.19439840508173,178.21731390354603,178.67200044425854,848800
8/1/20,180.02638244628906,180.76162781907573,178.4881950399464,178.7010276729539,667200
9/1/20,181.63230895996094,181.8064367112154,180.81968326425397,181.29370753928652,719700
10/1/20,181.2453613,182.3578836259801,181.00350737106137,182.25146729440834,1552600
13/1/20,183.18020629882812,183.18020629882812,181.72908245097344,181.9709364256159,861700
14/1/20,182.36752319335938,183.3059175770468,182.13535287927039,183.09308494807078,3982300
15/1/20,182.89962768554688,183.49942075422766,182.3868984955597,182.4546246867171,835000
16/1/20,184.7473602294922,184.7473602294922,183.52842187501955,183.8670084815777,782200
17/1/20,185.65682983398438,185.7342248944351,184.77647762815562,185.36660204769376,833900
21/1/20,185.7438507080078,186.23722749727676,185.03764124220834,185.2117690166815,743200
22/1/20,185.8502197265625,187.09817941065953,185.71478212703576,186.57578145865386,717800
23/1/20,186.33395385742188,186.41134889116373,184.95054161687568,185.72447719270073,638100
24/1/20,184.72805786132812,187.09822379611805,183.85738948090562,187.00149106584595,1090100
27/1/20,181.40980529785156,182.42559478612807,180.22955690371583,180.89707613205735,1165200
28/1/20,183.9927978515625,184.38944183890422,182.1256778389493,182.69646433163786,816200
29/1/20,184.3894500732422,185.53099358641285,183.7993259,185.01826441367103,675900
30/1/20,184.85374450683594,185.0085345204025,182.81249733289016,183.2478313296564,800400
31/1/20,181.74835205078125,185.26974401186473,181.24530660033335,185.26974401186473,1035500
3/2/20,184.1378631591797,184.77636093345888,182.38684346192628,182.58032361006235,836500
4/2/20,187.77540588378906,188.13334499311526,186.0243709494694,186.53711488556496,1023600
5/2/20,188.14300537109375,189.83598288360196,187.23363223109172,189.83598288360196,1169800
6/2/20,189.43936157226562,189.4490304157107,187.99790677292623,188.67509485390704,688300
7/2/20,188.5977020263672,189.5748014046844,188.10432529622616,188.66542821605356,739800
10/2/20,190.88079833984375,190.88079833984375,188.0849674264409,188.0849674264409,726100
11/2/20,190.87112426757812,192.32224784574788,190.40676885580967,191.92560385826596,866300
12/2/20,192.4673309326172,192.5157046650019,191.1806664114552,191.92558055772597,945300
13/2/20,192.64151000976562,193.4831570190888,191.36451408787482,191.49995170732444,769400
14/2/20,193.56053161621094,193.72499051092157,192.78659611753181,192.98975990605192,748700
18/2/20,193.65725708007812,193.94748472642024,192.6801725910374,192.87365276806835,852500
19/2/20,195.0310059,195.59209396031392,194.4505505501111,194.67305202197252,838900
20/2/20,193.8217315673828,195.3502353056433,191.46123501727212,194.85685863784462,1075400
21/2/20,190.60020446777344,193.23157578833062,189.91333297299144,192.91232690441132,946000
24/2/20,183.70254516601562,185.67606646776255,181.98054660263546,183.03502604934536,1603000
25/2/20,178.52688598632812,185.60837596429533,177.86905039882754,185.04727308940787,2005400
26/2/20,178.48818969726562,182.15468856234224,177.52077403494982,179.02994010630783,1326100
27/2/20,169.9168701171875,177.07573943025025,169.9168701171875,173.6994685,2158000
28/2/20,169.9942626953125,170.43926558461897,163.55127154903784,163.85116800956826,3279600
2/3/20,178.0722198486328,178.08188869172375,169.6556912194604,171.94847652897082,2079900
3/3/20,172.97390747070312,180.90671222001126,171.41636780711536,178.9912335179858,1564000
4/3/20,180.02638244628906,180.08442502591075,174.65722240740317,176.60173739428163,1389100
5/3/20,174.0090789794922,177.93678485044418,172.79980920338164,175.92457293319893,1131100
6/3/20,170.71986389160156,171.60988463788374,166.33747158876776,168.59155212774476,1355800
9/3/20,158.1143798828125,163.8704987259532,156.72129930491474,158.19177488842772,2439500
10/3/20,166.95660400390625,166.98562529410518,158.0757202,164.18979449940272,1999000
11/3/20,159.02378845214844,163.34813756631652,156.90514582769933,162.55484965183607,1549800
12/3/20,144.54161071777344,155.41535580249175,144.34813049336395,147.8695237,3570500
13/3/20,157.3598175048828,157.68873525035352,144.87047916405177,153.00644751330861,3062600
16/3/20,137.50848388671875,148.0533104064606,137.01510713332985,139.69483832292087,2658600
17/3/20,145.4799805,146.99881547073576,135.43820058721678,140.78800832948448,2545600
18/3/20,139.12403869628906,140.96213724109896,131.0074221914337,135.97026907235215,3018100
19/3/20,140.61387634277344,144.68668812818808,134.47078081115237,137.16986408916785,2258500
20/3/20,135.0609130859375,144.5512592061441,134.56753636893342,142.41327867086687,3173300
23/3/20,133.04869079589844,136.2024609186801,129.21773258069047,133.91935909164752,3328500
24/3/20,144.9478759765625,145.31549861522805,139.7625279540778,140.21721445087255,2161300
25/3/20,146.21522521972656,152.02938893505686,143.07112383105965,146.75697571253417,2378000
26/3/20,154.07974243164062,154.79751076864736,147.76522817684534,148.02712422442318,2635100
27/3/20,149.1619873046875,153.42984943850138,148.08531999903173,149.9379662746267,2037800
30/3/20,154.1476287841797,154.4968185720348,149.54996571084845,150.40354403684265,1840000
31/3/20,151.98458862304688,155.66076809526564,151.40260075277263,153.77902408868746,1428100
1/4/20,145.14630126953125,148.85159354562322,143.9823403013242,146.4945588944797,1617500
2/4/20,147.7652587890625,148.31814891509367,144.15696841039124,144.62256476933462,1252400
3/4/20,145.8834686279297,148.44418859978424,144.0599352604628,147.2220318406831,1540200
