Name,Ticker,Weight,Market Value,Industry,,,
Apple Inc.,AAPL,0.1309000,"$37,015,205,484 ",Information Technology,,,
Microsoft Corp.,MSFT,0.1057000,"$29,888,624,804 ",Information Technology,,,
NVIDIA Corp.,NVDA,0.1040000,"$29,430,339,395 ",Information Technology,,,
Amazon.com Inc.,AMZN,0.0719000,"$20,350,916,356 ",Consumer Discretionary,,,
Facebook Inc. Class A,META,0.0522000,"$14,766,194,981 ",Communication Services,,,
Tesla Inc.,TSLA,0.0287000,"$8,107,580,460 ",Consumer Discretionary,,,
Eli Lilly & Co.,LLY,0.0282000,"$7,986,477,218 ",Industrials,,,
Alphabet Inc. Class A,GOOGL,0.0275000,"$7,768,683,078 ",Communication Services,,,
Alphabet Inc. Class C,GOOG,0.0224000,"$6,325,599,267 ",Communication Services,,,
Visa Inc. Class A,V,0.0220000,"$6,209,644,891 ",Financials,,,
Mastercard Inc. Class A,MA,0.0170000,"$4,806,776,949 ",Financials,,,
Broadcom Inc.,AVGO,0.0168000,"$4,739,802,155 ",Information Technology,,,
Costco Wholesale Corp.,COST,0.0167000,"$4,727,200,991 ",Industrials,,,
Netflix Inc.,NFLX,0.0151000,"$4,266,977,440 ",Financials,,,
salesforce.com Inc.,CRM,0.0097000,"$2,757,360,970 ",Financials,,,
McDonald's Corp.,MCD,0.0080000,"$2,261,036,614 ",Consumer Discretionary,,,
Intuitive Surgical Inc.,ISRG,0.0074000,"$2,091,180,761 ",Financials,,,
Adobe Inc.,ADBE,0.0070000,"$1,972,891,982 ",Financials,,,
ServiceNow Inc.,NOW,0.0069000,"$1,958,308,860 ",Financials,,,
Texas Instruments Inc.,TXN,0.0065000,"$1,833,924,684 ",Financials,,,
Palantir Technologies Inc. Class A,PLTR,0.0064000,"$1,807,332,489 ",Financials,,,
S&P Global Inc.,SPGI,0.0062000,"$1,740,031,363 ",Financials,,,
Booking Holdings Inc.,BKNG,0.0060000,"$1,702,995,587 ",Financials,,,
Intuit Inc.,INTU,0.0059000,"$1,674,959,427 ",Financials,,,
Advanced Micro Devices Inc.,AMD,0.0059000,"$1,657,427,149 ",Financials,,,
Boston Scientific Corp.,BSX,0.0056000,"$1,576,047,517 ",Industrials,,,
Uber Technologies Inc.,UBER,0.0055000,"$1,566,724,809 ",Financials,,,
TJX Cos. Inc.,TJX,0.0051000,"$1,448,061,249 ",Financials,,,
Stryker Corp.,SYK,0.0048000,"$1,365,288,238 ",Industrials,,,
Starbucks Corp.,SBUX,0.0048000,"$1,356,945,886 ",Industrials,,,
Boeing Co.,BA,0.0048000,"$1,348,042,489 ",Industrials,,,
Applied Materials Inc.,AMAT,0.0047000,"$1,340,967,719 ",Financials,,,
Automatic Data Processing Inc.,ADP,0.0047000,"$1,324,801,137 ",Financials,,,
T-Mobile US Inc.,TMUS,0.0046000,"$1,293,821,594 ",Financials,,,
Palo Alto Networks Inc.,PANW,0.0046000,"$1,287,405,824 ",Financials,,,
Vertex Pharmaceuticals Inc.,VRTX,0.0045000,"$1,275,668,531 ",Financials,,,
Blackstone Group LP,BX,0.0042000,"$1,198,487,291 ",Financials,,,
Linde plc,LIN,0.0041000,"$1,150,580,477 ",Financials,,,
Accenture plc Class A,ACN,0.0040000,"$1,127,953,009 ",Financials,,,
General Electric Co.,GE,0.0039000,"$1,105,542,067 ",Industrials,,,
Lam Research Corp.,LRCX,0.0036000,"$1,023,642,687 ",Industrials,,,
American Tower Corp.,AMT,0.0035000,"$996,553,574 ",Real Estate,,,
Welltower Inc.,WELL,0.0035000,"$995,823,208 ",Financials,,,
KLA Corp.,KLAC,0.0035000,"$986,146,714 ",Industrials,,,
Arista Networks Inc.,ANET,0.0034000,"$969,920,539 ",Financials,,,
