Name,Ticker,Weight,Sector,Shares Held
APPLE INC,AAPL,6.757246,Information Technology,190951209
NVIDIA CORP,NVDA,6.04454,Information Technology,309877671
MICROSOFT CORP,MSFT,6.003886,Information Technology,93921842
AMAZON.COM INC,AMZN,3.868495,Consumer Discretionary,118221457
META PLATFORMS INC CLASS A,META,2.742725,Communication Services,27539456
ALPHABET INC CL A,GOOGL,2.027587,Communication Services,73814475
BERKSHIRE HATHAWAY INC CL B,BRK.B,1.970585,Financials,23155758
BROADCOM INC,AVGO,1.905539,Information Technology,59003310
ALPHABET INC CL C,GOOG,1.671512,Communication Services,60123808
TESLA INC,TSLA,1.433098,Consumer Discretionary,35281381
JPMORGAN CHASE + CO,JPM,1.351717,Financials,35566943
ELI LILLY + CO,LLY,1.346721,Health Care,9954115
VISA INC CLASS A SHARES,V,1.210549,Financials,21831861
EXXON MOBIL CORP,XOM,1.018346,Energy,55525870
UNITEDHEALTH GROUP INC,UNH,0.944852,Health Care,11626771
MASTERCARD INC   A,MA,0.908519,Financials,10355775
PROCTER + GAMBLE CO/THE,PG,0.846561,Consumer Staples,29753372
COSTCO WHOLESALE CORP,COST,0.841364,Consumer Staples,5597593
JOHNSON + JOHNSON,JNJ,0.836719,Health Care,30417839
NETFLIX INC,NFLX,0.81132,Communication Services,5400438
ABBVIE INC,ABBV,0.797112,Health Care,22326264
WALMART INC,WMT,0.782052,Consumer Staples,54838923
HOME DEPOT INC,HD,0.735448,Consumer Discretionary,12549294
COCA COLA CO/THE,KO,0.571195,Consumer Staples,48972608
BANK OF AMERICA CORP,BAC,0.564552,Financials,84324120
SALESFORCE INC,CRM,0.553833,Information Technology,12076340
CHEVRON CORP,CVX,0.547286,Energy,21110782
MERCK + CO. INC.,MRK,0.510744,Health Care,31953416
CISCO SYSTEMS INC,CSCO,0.507037,Information Technology,50349335
ORACLE CORP,ORCL,0.505934,Information Technology,20302107
PHILIP MORRIS INTERNATIONAL,PM,0.498792,Consumer Staples,19639103
WELLS FARGO + CO,WFC,0.48592,Financials,42056956
INTL BUSINESS MACHINES CORP,IBM,0.484508,Information Technology,11679621
ABBOTT LABORATORIES,ABT,0.48026,Health Care,21908380
LINDE PLC,LIN,0.460087,Materials,6014537
MCDONALD S CORP,MCD,0.454464,Consumer Discretionary,9051537
GENERAL ELECTRIC,GE,0.443945,Industrials,13670626
PEPSICO INC,PEP,0.433842,Consumer Staples,17329383
ACCENTURE PLC CL A,ACN,0.422347,Others,7892666
THERMO FISHER SCIENTIFIC INC,TMO,0.414618,Health Care,4831617
AT+T INC,T,0.399209,Communication Services,90664291
VERIZON COMMUNICATIONS INC,VZ,0.392387,Communication Services,53191699
WALT DISNEY CO/THE,DIS,0.373951,Communication Services,22873633
RTX CORP,RTX,0.366727,Industrials,16818611
INTUITIVE SURGICAL INC,ISRG,0.362129,Information Technology,4500436
QUALCOMM INC,QCOM,0.359736,Information Technology,14028851
AMGEN INC,AMGN,0.358121,Health Care,6787266
SERVICENOW INC,NOW,0.356545,Others,2602982
ADOBE INC,ADBE,0.354564,Information Technology,5560270
GOLDMAN SACHS GROUP INC,GS,0.351205,Financials,3965225
PROGRESSIVE CORP,PGR,0.349049,Others,7402356
PALANTIR TECHNOLOGIES INC A,PLTR,0.347822,Others,25884785
INTUIT INC,INTU,0.347234,Information Technology,3539297
CATERPILLAR INC,CAT,0.342938,Industrials,6096446
ADVANCED MICRO DEVICES,AMD,0.339391,Information Technology,20497297
TEXAS INSTRUMENTS INC,TXN,0.337711,Others,11526702
S+P GLOBAL INC,SPGI,0.324684,Consumer Staples,4009271
NEXTERA ENERGY INC,NEE,0.318704,Utilities,25964730
UBER TECHNOLOGIES INC,UBER,0.311909,Consumer Discretionary,26588309
PFIZER INC,PFE,0.30914,Health Care,71552477
AMERICAN EXPRESS CO,AXP,0.304107,Financials,7026962
BOOKING HOLDINGS INC,BKNG,0.303095,Consumer Discretionary,418104
UNION PACIFIC CORP,UNP,0.302667,Industrials,7654576
BOSTON SCIENTIFIC CORP,BSX,0.29952,Others,18609059
GILEAD SCIENCES INC,GILD,0.299175,Others,15748921
MORGAN STANLEY,MS,0.295226,Financials,15663510
HONEYWELL INTERNATIONAL INC,HON,0.286382,Industrials,8209853
COMCAST CORP CLASS A,CMCSA,0.282238,Communication Services,48194369
DANAHER CORP,DHR,0.279554,Others,8116208
BLACKROCK INC,BLK,0.279468,Financials,1838982
VERTEX PHARMACEUTICALS INC,VRTX,0.276228,Others,3254457
TJX COMPANIES INC,TJX,0.271123,Others,14240625
CITIGROUP INC,C,0.270951,Financials,23880148
LOWE S COS INC,LOW,0.269153,Others,7162525
T MOBILE US INC,TMUS,0.269072,Communication Services,6153346
SCHWAB (CHARLES) CORP,SCHW,0.267111,Others,21530520
STRYKER CORP,SYK,0.265879,Others,4332101
CONOCOPHILLIPS,COP,0.265128,Energy,16331837
APPLIED MATERIALS INC,AMAT,0.263432,Others,10409535
BRISTOL MYERS SQUIBB CO,BMY,0.260495,Health Care,25605655
FISERV INC,FI,0.253899,Others,7182741
BOEING CO/THE,BA,0.253783,Industrials,9438481
DEERE + CO,DE,0.253262,Industrials,3212771
MEDTRONIC PLC,MDT,0.252301,Others,16191485
AUTOMATIC DATA PROCESSING,ADP,0.250915,Others,5144270
PALO ALTO NETWORKS INC,PANW,0.245905,Others,8263717
MARSH + MCLENNAN COS,MMC,0.240623,Others,6200578
