Name,Ticker,Weight,Industry
Federal National Mortgage Assn.,--,15.83,Financials
Federal Home Loan Mortgage Corp.,--,12.62,Financials
Federal National Mortgage Assn.,--,12.52,Financials
Federal National Mortgage Assn.,--,9.32,Financials
Federal National Mortgage Assn.,--,9.22,Financials
U.S. Treasury Note/Bond,--,6.50,Financials
U.S. Treasury Note/Bond,--,6.50,Financials
U.S. Treasury Note/Bond,--,6.31,Financials
U.S. Treasury Note/Bond,--,6.12,Financials
Government National Mortgage Assn.,--,6.12,Financials
U.S. Treasury Note/Bond,--,6.02,Financials
U.S. Treasury Note/Bond,--,6.02,Financials
U.S. Treasury Note/Bond,--,6.02,Financials
U.S. Treasury Note/Bond,--,5.92,Financials
U.S. Treasury Note/Bond,--,5.92,Financials
U.S. Treasury Note/Bond,--,5.83,Financials
U.S. Treasury Note/Bond,--,5.83,Financials
U.S. Treasury Note/Bond,--,5.73,Financials
U.S. Treasury Note/Bond,--,5.73,Financials
U.S. Treasury Note/Bond,--,5.44,Financials
Cash and Cash Equivalents,--,6.12,Financials
