Holdings,Ticker,Weight,Market Value
Apple Inc.,AAPL,13.09%,"$37,015,205,484 "
Microsoft Corp.,MSFT,10.57%,"$29,888,624,804 "
NVIDIA Corp.,NVDA,10.40%,"$29,430,339,395 "
Amazon.com Inc.,AMZN,7.19%,"$20,350,916,356 "
Facebook Inc. Class A,META,5.22%,"$14,766,194,981 "
Tesla Inc.,TSLA,2.87%,"$8,107,580,460 "
Eli Lilly & Co.,LLY,2.82%,"$7,986,477,218 "
Alphabet Inc. Class A,GOOGL,2.75%,"$7,768,683,078 "
Alphabet Inc. Class C,GOOG,2.24%,"$6,325,599,267 "
Visa Inc. Class A,V,2.20%,"$6,209,644,891 "
Mastercard Inc. Class A,MA,1.70%,"$4,806,776,949 "
Broadcom Inc.,AVGO,1.68%,"$4,739,802,155 "
Costco Wholesale Corp.,COST,1.67%,"$4,727,200,991 "
Netflix Inc.,NFLX,1.51%,"$4,266,977,440 "
salesforce.com Inc.,CRM,0.97%,"$2,757,360,970 "
McDonald's Corp.,MCD,0.80%,"$2,261,036,614 "
Intuitive Surgical Inc.,ISRG,0.74%,"$2,091,180,761 "
Adobe Inc.,ADBE,0.70%,"$1,972,891,982 "
ServiceNow Inc.,NOW,0.69%,"$1,958,308,860 "
Texas Instruments Inc.,TXN,0.65%,"$1,833,924,684 "
Palantir Technologies Inc. Class A,PLTR,0.64%,"$1,807,332,489 "
S&P Global Inc.,SPGI,0.62%,"$1,740,031,363 "
Booking Holdings Inc.,BKNG,0.60%,"$1,702,995,587 "
Intuit Inc.,INTU,0.59%,"$1,674,959,427 "
Advanced Micro Devices Inc.,AMD,0.59%,"$1,657,427,149 "
Boston Scientific Corp.,BSX,0.56%,"$1,576,047,517 "
Uber Technologies Inc.,UBER,0.55%,"$1,566,724,809 "
TJX Cos. Inc.,TJX,0.51%,"$1,448,061,249 "
Stryker Corp.,SYK,0.48%,"$1,365,288,238 "
Starbucks Corp.,SBUX,0.48%,"$1,356,945,886 "
Boeing Co.,BA,0.48%,"$1,348,042,489 "
Applied Materials Inc.,AMAT,0.47%,"$1,340,967,719 "
Automatic Data Processing Inc.,ADP,0.47%,"$1,324,801,137 "
T-Mobile US Inc.,TMUS,0.46%,"$1,293,821,594 "
Palo Alto Networks Inc.,PANW,0.46%,"$1,287,405,824 "
Vertex Pharmaceuticals Inc.,VRTX,0.45%,"$1,275,668,531 "
Blackstone Group LP,BX,0.42%,"$1,198,487,291 "
Linde plc,LIN,0.41%,"$1,150,580,477 "
Accenture plc Class A,ACN,0.40%,"$1,127,953,009 "
General Electric Co.,GE,0.39%,"$1,105,542,067 "
Lam Research Corp.,LRCX,0.36%,"$1,023,642,687 "
American Tower Corp.,AMT,0.35%,"$996,553,574 "
